Rank,Name,Country,FT Category,absolute_growth_rate_pct_inc,CAGR_pct_inc,2018_rev,2015_rev,employees_2018,founded
1,Niantic*,US,Games industry,"180,306.60",1117.4,790.18,0.44,426,2015
2,UiPath,US,Technology,"37,463.50",621.5,155,0.41,3200,2005
3,Publisher First (Freestar)*,US,Advertising,"36,680.10",616.5,36.86,0.1,43,2015
4,FreightWise*,US,Transport,"30,547.90",574.2,33.64,0.11,39,2015
5,Veggie Noodle Co.*,US,Food & Beverage,"24,074.80",523,24.9,0.1,175,2015
6,Perpay,US,Fintech,"18,480.40",470.6,22.89,0.12,24,2014
7,Bear Mattress,US,Personal & Household Goods,"13,480.70",414,20.54,0.15,12,2014
8,Applied Data Finance,US,Fintech,"11,989.50",394.5,37.41,0.31,205,2014
9,NuLeaf Naturals,US,Health,"11,700.60",390.5,13.58,0.12,11,2014
10,Urgent.ly,US,Technology,"11,612.20",389.3,30.23,0.26,226,2013
11,Vlocity,US,Technology,"10,245.30",369.4,96.52,0.93,598,2014
12,YieldStreet,US,Financial Services,"9,227.90",353.5,16.78,0.18,60,2015
13,Four Mine (With Clarity),US,Ecommerce,"9,179.30",352.7,19.01,0.2,12,2015
14,Auvik Networks,Canada,Technology,"7,913.60",331.1,9.4,0.12,167,2011
15,Printify*,US,Technology,"7,638.70",326.1,10.14,0.13,70,2015
16,FANCHEST,US,Ecommerce,"6,055.90",294.9,8.27,0.13,13,2014
17,Fund That Flip,US,Fintech,"6,017.90",294,6.41,0.1,41,2014
18,Beauty Barrage*,US,Sales & Marketing,"5,459.40",281.7,5.97,0.11,250,2015
19,Beeswax.io,US,Technology,"5,262.00",277.1,12.33,0.23,56,2014
20,Progyny,US,Health,"4,737.10",264.4,105.4,2.18,116,2008
21,IQM,US,Sales & Marketing,"4,101.50",247.6,6.22,0.15,40,2013
22,Exabeam,US,Cyber Security,"3,784.60",238.7,50.5,1.3,305,2013
23,SeaBay Building Group,US,Construction,"3,779.70",238.5,25.8,0.67,28,2013
24,Asset Panda,US,Technology,"3,691.90",236,5.09,0.13,50,2012
25,OwnBackup*,US,Technology,"3,391.50",226.8,9.43,0.27,89,2015
26,Feedonomics,US,Ecommerce,"3,371.00",226.2,7.43,0.21,72,2015
27,Payability,US,Fintech,"3,350.00",225.5,13.69,0.4,54,2014
28,Ninja Partners*,US,Support Services,"3,279.30",223.3,4.58,0.14,350,2015
29,Flexiti Financial,Canada,Fintech,"3,245.00",222.2,6.42,0.21,120,2013
30,Cognira*,US,Technology,"3,135.70",218.7,7.59,0.23,50,2015
31,CIENCE Technologies*,US,Sales & Marketing,"3,050.00",215.8,3.8,0.12,295,2015
32,Techolution,US,Technology,"2,922.80",211.5,10.93,0.36,42,2014
33,Homesnap,US,Technology,"2,907.20",211,17.6,0.59,85,2008
34,Potoo Marketing,US,Ecommerce,"2,818.70",207.9,6.56,0.22,55,2014
35,Lovebug Nutrition,US,Health,"2,608.00",200.3,3.1,0.11,4,2014
36,T. C. Lewis and Co,US,Property,"2,534.40",197.6,5.98,0.23,29,2014
37,ShipBob,US,Support Services,"2,499.30",196.2,34.24,1.32,428,2014
38,Flexport,US,Support Services,"2,494.10",196,441,17,1100,2013
39,ShipMonk,US,Support Services,"2,470.10",195.1,28.41,1.11,450,2014
40,Ridgeline International*,US,Technology,"2,250.20",186.4,29.4,1.25,118,2015
41,Konfío | Red Amigo DAL,Mexico,Fintech,"2,231.60",185.7,12.07,0.63,121,2013
42,VELOX Media,US,Sales & Marketing,"2,142.10",182,3.14,0.14,42,2003
43,Bombas,US,Retail,"2,084.80",179.6,100.5,4.6,60,2013
44,neuvoo,Canada,Support Services,"2,032.70",177.3,21.03,1,200,2012
45,Waggl,US,Technology,"2,013.80",176.5,4.1,0.19,47,2014
46,World Housing Solution,US,Aerospace & Defence,"1,973.60",174.7,5.08,0.25,18,2011
47,Snap,US,Media,"1,912.30",172,"1,180.45",58.66,2884,2011
48,Global Memory Procurement (MEMORY.NET),US,Technology,"1,896.00",171.3,18.63,0.93,12,2000
49,Ravitsky Bros (FactoryPure),US,Ecommerce,"1,882.80",170.7,6.08,0.31,7,2013
50,ComplianceQuest,US,Technology,"1,851.70",169.2,2.51,0.13,70,2012
51,Impact Analytics*,US,Technology,"1,848.00",169.1,5.06,0.26,120,2015
52,Office Libations,US,Food & Beverage,"1,843.60",168.9,4.48,0.23,20,2014
53,MatchBox Consulting Group,Canada,Support Services,"1,813.60",167.5,7.76,0.41,31,2015
54,Globaltexusa*,US,Industrial Goods,"1,710.20",162.6,2.35,0.13,7,2015
55,Bridgewater Homes*,US,Construction,"1,700.20",162.1,46.22,2.57,18,2015
56,Maverick Media Ventures,US,Ecommerce,"1,671.00",160.7,3.05,0.17,9,2014
57,Mixt Solutions,US,Sales & Marketing,"1,661.70",160.2,3.67,0.21,6,2014
58,PatientBond,US,Technology,"1,648.50",159.6,2.21,0.13,18,2011
59,Capital Brand Group,US,Construction,"1,582.90",156.3,3.74,0.22,20,2013
60,RedShelf,US,Education,"1,569.40",155.6,47.32,2.83,80,2012
61,Coderhouse,Argentina,Education,"1,566.70",155.4,2,0.12,20,2014
62,Curate Mobile*,Canada,Sales & Marketing,"1,549.60",154.6,17.43,1.07,26,2015
63,The Assay Depot (Scientist.com),US,Health,"1,522.20",153.1,97.41,6,70,2007
64,TISSINI,US,Retail,"1,515.60",152.8,3.65,0.23,63,2015
65,Salsify,US,Technology,"1,507.00",152.4,29.55,1.84,271,2011
66,Hennessey Digital*,US,Sales & Marketing,"1,505.40",152.3,2.6,0.16,25,2015
67,Alivi,US,Health,"1,496.40",151.8,14.08,0.88,100,2012
68,Washington Business Dynamics,US,Management Consulting,"1,438.50",148.7,10,0.65,38,2012
69,OppLoans,US,Fintech,"1,435.00",148.5,134.25,8.75,304,2012
70,Digital Resource,US,Sales & Marketing,"1,399.70",146.6,4.02,0.27,30,2014
71,Traxxall Technologies,Canada,Aerospace & Defence,"1,350.60",143.9,2.87,0.2,70,2013
72,Gcubed,US,Cyber Security,"1,340.80",143.3,5.71,0.4,48,2014
73,Daisy Intelligence,Canada,Technology,"1,313.80",141.8,3.18,0.24,35,2003
74,LYNC Logistics,US,Transport,"1,247.50",138,28.03,2.08,33,2014
75,Healthy Human,US,Retail,"1,232.50",137.1,2.69,0.2,6,2015
76,PowerInbox,US,Technology,"1,202.60",135.3,30.78,2.36,37,2011
77,Theratechnologies,Canada,Pharmaceuticals,"1,181.00",134,45.34,3.59,100,1993
78,Lakaraya,US,Technology,"1,180.30",133.9,2.87,0.22,11,2013
79,Zahroof Valves,US,Energy,"1,155.40",132.4,8.63,0.69,33,2010
80,Lorne Park Capital Partners,Canada,Financial Services,"1,138.30",131.4,7.55,0.62,29,2009
81,Advanced Operations Partners,US,Management Consulting,"1,131.00",130.9,24.01,1.95,54,2005
82,SOCi,US,Sales & Marketing,"1,097.40",128.8,8.76,0.73,113,2012
83,Bambridge Accountants New York,US,Financial Services,"1,090.00",128.3,1.79,0.15,8,2010
84,Zoocasa Realty*,Canada,Technology,"1,074.50",127.3,3.9,0.34,59,2015
85,Professional Hair Labs,US,Beauty,"1,049.90",125.7,6.38,0.56,7,1994
86,Assured Consulting Solutions,US,Technology,"1,044.40",125.4,21.36,1.87,50,2011
87,Sitetracker*,US,Technology,"1,044.00",125.3,8.13,0.71,118,2015
88,Vidoori,US,Technology,"1,033.70",124.7,32.77,2.89,127,2008
89,Real Broker,US,Property,"1,030.50",124.4,8.91,0.79,10,2014
90,Discuss.io,US,Technology,"1,014.90",123.4,5.9,0.53,42,2012
91,OneSoft Solutions,Canada,Technology,967.5,120.2,3.32,0.31,20,2015
92,Agape Luxury,US,Health,948,118.8,8.99,0.86,55,2012
93,Spinnaker Consulting Group,US,Management Consulting,937.4,118.1,6.15,0.59,34,2012
94,Flo Water (FloWater),US,Food & Beverage,893.7,115,5.33,0.54,34,2013
95,Lemonaid Health,US,Health,857.8,112.4,4.61,0.48,42,2012
96,Kruze Consulting,US,Financial Services,854.5,112.1,5.52,0.58,34,2012
97,Bawla Consulting,US,Support Services,828.7,110.2,5.27,0.57,2,2014
98,Digital Hyve Marketing,US,Sales & Marketing,822.3,109.7,7.21,0.78,25,2014
99,Comparaguru México (Coru),Mexico,Fintech,812.7,109,3,0.4,111,2014
100,Zinobe,Colombia,Fintech,803.5,108.3,4.21,0.53,64,2012
101,GridGain Systems,US,Technology,797.1,107.8,12.6,1.41,134,2010
102,BairesDev,US,Technology,791.6,107.4,17.24,1.93,572,2012
103,eduPresent (Bongo),US,Technology,781.3,106.6,6.33,0.72,45,2009
104,Ondot Systems,US,Financial Services,776.2,106.2,18.4,2.1,261,2011
105,Tierra Encantada,US,Education,773.8,106,4.99,0.57,89,2013
106,K-Supply Group,Colombia,Food & Beverage,763.3,105.1,5.24,0.69,10,2014
107,Good Life Management Company,US,Financial Services,760.4,104.9,17.31,2.01,58,2012
108,Nyla Technology Solutions,US,Cyber Security,754.2,104.4,4.1,0.48,28,2013
109,Conserva Irrigation Franchising,US,Support Services,728.2,102.3,7.16,0.86,10,2010
110,Globalization Partners,US,Technology,727.8,102.3,149,18,79,2012
111,Thinx,US,Retail,713.8,101.1,47.2,5.8,69,2013
112,Socialcom (AUDIENCEX),US,Sales & Marketing,709,100.8,15.01,1.85,82,2013
113,Solvegy,US,Management Consulting,708.2,100.7,2.67,0.33,6,2014
114,Mohawk Group Holdings,US,Technology,705.5,100.5,73.3,9.1,156,2014
115,C Evans Consulting,US,Support Services,697.4,99.8,1.97,0.25,22,2015
116,Zolli Candy,US,Food & Beverage,696.5,99.7,2.15,0.27,10,2014
117,CamCal Enterprises (BottleKeeper),US,Personal & Household Goods,690.4,99.2,13.64,1.73,8,2013
118,Apptopia,US,Technology,651,95.8,3.79,0.5,45,2011
119,Admera Health,US,Health,647.3,95.5,12.64,1.69,65,2014
120,Segment,US,Technology,643.1,95.1,51.13,6.88,346,2011
121,Tab and Slot,US,Industrial Goods,623,93.4,3.41,0.47,21,2014
122,Spark.Orange,US,Technology,618,92.9,2.04,0.28,21,2013
123,Texas Auto Firm (The Auto Cave),US,Automobiles,616.2,92.8,18.57,2.59,47,2014
124,Sevan Multi-Site Solutions,US,Construction,613.4,92.5,101.35,14.21,437,2011
125,Life360,US,Technology,613.3,92.5,32.06,4.49,120,2007
126,Snap! Mobile,US,Technology,607.5,92,30.18,4.27,354,2014
127,Payfone,US,Technology,596.3,91,16.05,2.31,67,2008
128,Transworld Business Advisors - Rocky Mountain,US,Financial Services,590,90.4,3.54,0.51,18,2013
129,HTK Lentes Oftalmicas (Haytek Lentes),Brazil,Health,589.8,90.4,8.36,1.36,52,2013
130,Wayne Contracting,US,Construction,579.2,89.4,2.84,0.42,5,2014
131,Dynamo Technologies,US,Technology,577.3,89.2,16.42,2.42,72,2012
132,Amerikas,US,Beauty,563.3,87.9,3.56,0.54,6,2013
133,FE International,US,Financial Services,547.4,86.4,3.98,0.62,20,2010
134,Oftalmología de Alta Tecnología,Colombia,Health,539.7,85.6,2.12,0.38,50,2014
135,Two Bulls,US,Technology,533.8,85.1,6.46,1.02,30,2010
136,Ricciardi Group,US,Sales & Marketing,521.6,83.9,2.74,0.44,7,2014
137,Magnus Seguridada,Colombia,Support Services,511.5,82.9,4.63,0.87,473,2013
138,Luxe RV,US,Travel & Leisure,511.4,82.9,2.32,0.38,15,2014
139,CR Proyectos,Colombia,Architecture,505,82.2,11.03,2.08,47,2013
140,Clear Touch Interactive,US,Technology,495.4,81.3,44.73,7.51,35,2012
141,American School Way,Colombia,Education,476.7,79.3,17.3,3,1400,2002
142,DLP Real Estate Capital,US,Property,473.8,79,80.9,14.1,298,2009
143,Handstand Innovations (MessageWrap),US,Advertising,470.1,78.6,2.8,0.49,18,2010
144,Uber Technologies,US,Transport,464.9,78.1,"11,270.00","1,995.00",22263,2009
145,Knightsbridge Foreign Exchange,Canada,Fintech,460.8,77.7,6.86,1.22,15,2009
146,Andiamo Consulting,US,Support Services,459.2,77.5,28.65,5.12,127,2003
147,Norada Real Estate Investments,US,Property,458.3,77.4,2.01,0.36,9,2004
148,Bio Bolsa,Colombia,Personal & Household Goods,456.7,77.2,4.35,0.78,90,2010
149,Media One Creative,Canada,Media,455.1,77.1,4.16,0.8,30,2012
150,Housing Trust Group,US,Construction,449.6,76.5,18.35,3.34,111,2006
151,Elevate Staffing,US,Sales & Marketing,446,76.1,7.97,1.46,32,2014
152,Valemobi Consultoria Empresarial,Brazil,Fintech,440.9,75.5,5.32,1.11,70,2008
153,Onit,US,Technology,440.9,75.5,16.71,3.09,162,2011
154,BarnAllen Technologies,US,Technology,438.6,75.3,63.17,11.73,488,2009
155,Hawke Media,US,Sales & Marketing,437.2,75.1,14.02,2.61,122,2014
156,Resnick Roofing & Contracting,US,Construction,433.3,74.7,4.51,0.85,26,2006
157,GO Logistics,Canada,Transport,430.8,74.4,16.36,3.36,406,2005
158,Tesla,US,Automobiles,430.4,74.4,"21,461.27","4,046.03",48817,2003
159,Connect Group Media,US,Media,430,74.4,2.43,0.46,15,2014
160,Bombora,US,Sales & Marketing,424.7,73.8,26.36,5.02,95,2014
161,Tredence,US,Management Consulting,418.5,73.1,18.83,3.63,386,2014
162,Omega Geração,Brazil,Energy,418.1,73,202.54,44,92,2007
163,Leeward Business Advisors,US,Technology,410.5,72.2,3.6,0.71,19,2014
164,Flytographer Enterprises,Canada,Travel & Leisure,400,71,3,0.6,15,2013
165,Zomaron Inc (Paystone),Canada,Fintech,396.6,70.6,14.88,3.04,62,2008
166,Mynt Systems,US,Energy,395.8,70.5,7.94,1.6,17,2014
167,Bestica,US,Technology,393.7,70.3,15.72,3.18,207,2005
168,Nomodic Modular Structures,Canada,Construction,385.7,69.4,26.54,5.54,84,2012
169,Calima Motor,Colombia,Automobiles,377.2,68.4,11.71,2.8,70,1974
170,Array Of Stars,Canada,Sales & Marketing,363.9,66.8,1.74,0.38,18,2013
171,Nuvolo Technologies,US,Technology,363.3,66.7,11.95,2.58,131,2013
172,Catalyst Outdoor,US,Advertising,357.8,66,17.26,3.77,21,2009
173,Zeel Networks,US,Technology,354.2,65.6,31,6.82,86,2010
174,RIWI,Canada,Technology,350.8,65.2,2.67,0.59,12,2009
175,AMMD*,US,Health,348.3,64.9,12.08,2.69,15,2015
176,Grupo Logístico Especializado,Colombia,Transport,346.5,64.7,3.43,0.77,80,2013
177,Marijuana Business Daily,US,Media,343.5,64.3,27.31,6.16,58,2011
178,MaxGen Energy Services,US,Energy,337.2,63.5,69.43,15.88,525,2009
179,Plataforma 10,Argentina,Travel & Leisure,335.5,63.3,12.12,6.3,80,2001
180,SolutionStack,Canada,Technology,335.5,63.3,8.33,1.97,18,2012
181,Twelve Consulting Group,US,Technology,332.3,62.9,7.72,1.79,44,2013
182,DP Capital (Washington Capital Partners),US,Financial Services,327.2,62.3,15.33,3.59,28,2012
183,Generis Global Partners,Canada,Support Services,325.6,62.1,6.68,1.59,51,2013
184,Blue Label Labs,US,Technology,323.3,61.8,4.76,1.13,10,2011
185,Worcester Investments,US,Property,323,61.7,24.95,5.9,181,2006
186,Carbon Credit Solutions,Canada,Technology,322.1,61.6,20.89,5.02,41,2008
187,Intelligent Systems,US,Fintech,320.3,61.4,20.1,4.78,400,1981
188,eAssist,US,Financial Services,320,61.3,17.34,4.13,700,2012
189,Ventive*,US,Technology,319.3,61.3,3.14,0.75,17,2015
190,Strategic Solution Partners,US,Support Services,318.9,61.2,6.72,1.61,2,2007
191,MASSIE R&D Tax Credits,US,Financial Services,317.8,61.1,1.58,0.38,12,2014
192,Green Standards,Canada,Waste management & recycling,317.1,61,10.83,2.63,21,2009
193,Gee Jay Group International,Canada,Industrial Goods,315.7,60.8,2.09,0.5,5,1993
194,Big Leap,US,Sales & Marketing,313,60.4,8.28,2,63,2008
195,Mobile Posse**,US,Technology,310.9,60.2,58.33,14.2,57,2005
196,Shadow Concepts (Under30Experiences),US,Travel & Leisure,309.7,60,2.91,0.71,20,2012
197,CCM Industria e Comercio de Produtos Descartaveis,Brazil,Personal & Household Goods,309.1,59.9,60.93,16.76,436,2010
198,MongoDB,US,Technology,309.1,59.9,267.02,65.27,1212,2007
199,TapResearch,US,Technology,303.3,59.2,12.39,3.07,15,2013
200,Perreault Plastix,Canada,Industrial Goods,298.3,58.5,2.53,0.65,43,2010
201,Motifworks,US,Technology,296.5,58.3,4.23,1.07,100,2010
202,Tiger Analytics,US,Management Consulting,296,58.2,13.07,3.3,300,2011
203,Magnolia Boutique,US,Fashion,291.3,57.6,6.47,1.65,15,2013
204,Streamline Marketing,US,Advertising,290.6,57.5,2.5,0.64,5,2014
205,Twilio,US,Technology,289.5,57.3,650.1,166.9,1440,2008
206,Fundrise,US,Fintech,288.2,57.2,20.79,5.36,81,2012
207,Nuva,Colombia,Technology,286.5,56.9,2.81,0.83,29,2011
208,Criterion Systems,US,Technology,286.2,56.9,89.03,23.05,376,2005
209,Industrias Alimenticias San Nicolás,Colombia,Food & Beverage,285,56.7,3.92,1.16,185,2012
210,The Morning Consult,US,Support Services,284.6,56.7,10,2.6,84,2014
211,Logistics Made Simple,US,Transport,284.2,56.6,45.47,11.83,75,2008
212,Tattersall Distilling Company,US,Food & Beverage,284,56.6,3,0.78,45,2014
213,Oro Verde Semillas,Colombia,Agricultural Commodities,283.9,56.6,2.17,0.57,17,2014
214,Synergy Medical Brg,Canada,Pharmaceuticals,283.7,56.6,41.38,10.76,105,2004
215,Blue Dog Business Services (BLUEDOG),US,Financial Services,283.1,56.5,4.02,1.05,38,2000
216,Tek Leaders,US,Technology,282.3,56.4,19.48,5.1,236,2008
217,EncoreFX,Canada,Financial Services,279.2,55.9,13.28,3.55,130,2014
218,Atlas MedStaff,US,Health,277.4,55.7,88.04,23.33,105,2012
219,Isaac Operations,Canada,Management Consulting,275.2,55.4,8.2,2.28,30,2003
220,Disredes Ingeniería,Colombia,Construction,273.9,55.2,3.47,1.06,52,2007
221,Flocknote,US,Technology,272.4,55,2.11,0.57,14,2009
222,Gateway Multifamily,US,Property,272.4,55,3.1,0.83,3,2013
223,KLF Media,Canada,Support Services,271,54.8,9.65,2.77,34,2005
224,Search Realty Corporation,Canada,Property,266.9,54.2,5.34,1.53,188,2012
225,De la Espriella Lawyers Enterprise Consultorias y Servicios Legales Especializados,Colombia,Law,262.1,53.6,7.19,2.27,98,2001
226,Ecipsa Holding,Argentina,Property,259.6,53.2,23.6,16.36,64,1991
227,Franklin Media,US,Retail,257.1,52.9,3.43,0.96,12,2013
228,GigSalad,US,Support Services,253.2,52.3,14.77,4.18,26,2007
229,Rainmaker Ad Ventures,US,Advertising,253.1,52.3,28.26,8.01,10,2004
230,Hologenix,US,Health,248.7,51.6,3.57,1.02,8,2002
231,RJ Brands (Chefman),US,Personal & Household Goods,246.5,51.3,59.13,17.07,50,2009
232,Avantage-plus,Canada,Construction,245.6,51.2,17.98,5.37,50,2005
233,MaxSold Incorporated,Canada,Ecommerce,244.8,51.1,6.3,1.85,689,2009
234,WillowTree,US,Technology,244,51,45.56,13.24,312,2007
235,The DVI Group,US,Advertising,244,51,2.68,0.78,18,2000
236,VRG Components,US,Industrial Goods,243.4,50.9,8.1,2.36,24,2014
237,Daferol,Uruguay,Ecommerce,241.7,50.6,7.82,2.64,27,2006
238,twelve NYC,US,Support Services,240.7,50.5,29.3,8.6,36,2004
239,Mission Field,US,Support Services,240.5,50.5,2.63,0.77,3,2012
240,iTechArt Group,US,Technology,239.1,50.2,49.03,14.46,1267,2002
241,Xtenfer Consulting,US,Technology,238.7,50.2,5.73,1.69,23,2002
242,Reservations.com,US,Travel & Leisure,237.8,50,50.98,15.09,24,2014
243,PIRS Capital,US,Financial Services,230.2,48.9,11.9,3.6,12,2013
244,Eravant (formerly SAGE Millimeter),US,Industrial Goods,229.4,48.8,14.1,4.28,50,2011
245,I.T. Works Recruitment,US,Support Services,229,48.7,14.19,4.31,31,2013
246,Strait Capital Company,US,Financial Services,228.6,48.7,7.34,2.23,50,2006
247,Red Oak Compliance Solutions Holdings,US,Fintech,227.7,48.5,3.29,1,14,2010
248,Poseidon Systems,US,Technology,227.1,48.4,3.51,1.07,22,2010
249,MDOS Consulting,Canada,Cyber Security,225.3,48.2,2.88,0.88,3,2001
250,Fab Glass and Mirror,US,Industrial Goods,225.1,48.1,7.86,2.42,45,2012
251,Katz Capital Management,US,Financial Services,224.6,48.1,8.26,2.54,9,2011
252,CS-1 Transportation,Canada,Transport,224.2,48,27.15,8.35,35,2008
253,Altaworx,US,Telecoms,223.8,47.9,7.6,2.35,18,2003
