,"TABLE 7. NUTRITION: NEWBORNS, INFANTS AND YOUNG CHILDREN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Countries and areas,Weight at birth,,,,"Infant and Young Child Feeding (0-23 months)
2013?2018*",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Low birthweight
(%)
2015",,"Unweighed at birth
(%)
2010?2018*",,"Early
initiation
of breastfeeding
(%)",,"Exclusive
breastfeeding
(<6 months) 
(%)",,"Introduction
to solid,
semi-solid or
soft foods 
(6?8 months)
(%)",,"Continued breastfeeding 
(12?23 months) 
(%)",,,,,,"Minimum diet diversity 
(6?23 months)
(%)",,"Minimum meal frequency 
(6?23 months)
(%)",,"Minimum acceptable diet 
(6?23 months)
(%)",,"Zero vegetable or fruit consumption (6?23 months)
(%)",,,,,,,,,,
,,,,,,,,,,,,All children,,"Poorest 
20%",,"Richest 
20%",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afghanistan,NA,0,0.86268371,0,0.628,,0.575,,0.60994328,,0.73801537,,0.8009494,,0.69562843,,0.22058596,,0.51212353,,0.15494375,,0.58570599,,,,,,,,,,
,Albania,0.045878301,0,0.131673318,0,0.56522095,,0.36538513,,0.88508522,,0.4320668,,0.38172195,,0.36576694,,0.52498512,,0.51405811,,0.29240223,,0.25735647,,,,,,,,,,
,Algeria,0.07252492,0,0.11427053,0,0.35710793,x,0.25391212,x,0.77177223,x,0.35542862,x,0.35312801,x,0.33572384,x,NA,,0.52048649,x,NA,,NA,,,,,,,,,,
,Andorra,0.074454055,0,0.143,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Angola,0.15256593,0,0.448022664,0,0.48316441,,0.37381931,,0.78769455,,0.66567772,,0.74361542,,0.52595783,,0.29069233,,0.32769455,,0.13263435,,0.36358505,,,,,,,,,,
,Anguilla,NA,0,NA,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Antigua and Barbuda,0.090541191,0,NA,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Argentina,0.073467579,0,0.041,0,0.52740349,x,0.31951948,x,0.9661496,x,0.39101143,x,0.48527721,x,0.32994122,x,NA,,0.6810849,x,NA,,NA,,,,,,,,,,
,Armenia,0.089790993,0,0.003645658,0,0.40879616,,0.44490414,,0.89810143,,0.28720592,,0.31562677,,0.2433626,,0.36308819,,0.71583557,,0.24459978,,0.22294811,,,,,,,,,,
,Australia,0.065194602,0,0.013060704,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Austria,0.065214977,0,0,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Azerbaijan,0.07282609,0,0.025146083,0,0.197,,0.121,,0.769,,0.26392654,x,0.24278873,x,0.14547711,x,0.34834705,x,NA,,NA,,0.38192307,x,,,,,,,,,
,Bahamas,0.13135983,0,0.156480981,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Bahrain,0.11907553,0,0.023802804,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Bangladesh,0.2780978,0,0.67843272,0,0.50798492,,0.55289871,,0.64705681,,0.91956741,,0.94441322,,0.85275887,,0.26571703,,0.63622467,,0.22818817,,0.52696781,,,,,,,,,,
,Barbados,NA,0,0.023,0,0.4029047,x,0.19696945,x,0.89848412,x,0.41081161,x,NA,"x,p",NA,"x,p",NA,,0.61254036,x,NA,,NA,,,,,,,,,,
,Belarus,0.050638232,0,0.00233886,0,0.52965881,x,0.19027744,x,0.9527298,x,0.17384157,x,0.25583347,x,0.18804502,x,NA,,0.74202904,x,NA,,NA,,,,,,,,,,
,Belgium,0.07254601,0,0.04457239,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Belize,0.085988007,0,0.013,0,0.6825412,,0.33164608,,0.78798141,,0.47131149,,0.58671726,,0.37352512,,0.57829643,,0.6759066,x,NA,,0.30324936,,,,,,,,,,
,Benin,0.16890917,0,0.396,0,0.54075073,,0.41401615,,0.55791328,,0.68805222,,0.76978668,,0.51675385,,0.25880089,,0.44940563,,0.14766715,,0.54100483,,,,,,,,,,
,Bhutan,0.11662965,0,0.27832439,0,0.779,,0.514,,0.869,,0.80405029,x,0.88201515,x,0.75802544,x,NA,,0.62582893,x,NA,,NA,,,,,,,,,,
,Bolivia (Plurinational State of),0.072223349,0,0.172,0,0.55,,0.583,,0.81047966,x,0.553,,0.74252899,"x,r",0.52683861,"x,r",0.64432243,x,NA,,NA,,0.19808907,x,,,,,,,,,
,Bosnia and Herzegovina,0.033956866,0,0.02150448,0,0.42288311,x,0.18189299,x,0.75945099,x,0.1173019,x,0.16467392,x,0.09798027,x,NA,,0.72240814,x,NA,,NA,,,,,,,,,,
,Botswana,0.15632107,0,0.05031877,0,0.528,,0.29994354,,0.725,,0.15218289,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Brazil,0.083842697,0,0.029314231,0,0.429,x,0.386,x,0.941,x,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,British Virgin Islands,NA,0,NA,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Brunei Darussalam,0.10755617,0,0.044729387,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Bulgaria,0.095600834,0,0.057044222,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Burkina Faso,0.13137902,0,0.36397266,0,0.558,,0.478,,0.751,,0.90478806,x,0.92895142,x,0.77050964,x,0.051927166,x,0.565,,0.031443448,x,0.74694878,x,,,,,,,,,
,Burundi,0.15131362,0,0.197,0,0.85043709,,0.82326126,,0.85603539,,0.89437332,,0.91797104,,0.84206734,,0.18486036,,0.39249451,,0.10210701,,0.092605677,,,,,,,,,,
,Cabo Verde,NA,0,NA,0,0.727,x,0.596,x,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Cambodia,0.1212224,0,0.09117848,0,0.62557487,,0.65205032,,0.81562813,,0.58036919,,0.64692192,,0.38973499,,0.40425549,,0.72157341,,0.30429089,,0.35345333,,,,,,,,,,
,Cameroon,0.11961432,0,0.396562517,0,0.31195841,,0.28034719,,0.8273011,,0.46314079,,0.74965324,,0.15889798,,0.23270174,,0.60001339,,0.16482433,,0.41580738,,,,,,,,,,
,Canada,0.063826098,0,0.012173448,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Central African Republic,0.14536402,0,0.39159629,0,0.525,,0.288,,0.94008888,x,0.65972481,x,0.74009933,x,0.56842266,x,0.26547756,x,0.20432394,x,0.087603951,x,0.21664743,x,,,,,,,,,
,Chad,NA,0,0.87809854,0,0.22999971,,<1.0,,0.59311016,,0.78799217,,0.82244514,,0.68360214,,0.093144073,,0.37481236,,0.057432022,,0.70378494,,,,,,,,,,
,Chile,0.062466712,0,0,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,China,0.049525833,0,0.004974604,0,0.287,,0.208,,0.83,,NA,,NA,,NA,,0.34577,,0.690675,,0.245,,NA,,,,,,,,,,
,Colombia,0.099555931,0,0.179727852,0,0.72,,0.361,,0.78,,0.44754639,x,0.49325577,x,0.32559406,x,NA,,0.611,,NA,,NA,,,,,,,,,,
,Comoros,0.23696138,0,0.32879673,0,0.33711369,x,0.11433165,x,0.80346466,x,0.65165726,x,0.67699409,x,0.6944162,x,0.21526237,x,0.29713175,x,0.058795309,x,0.5150901,x,,,,,,,,,
,Congo,0.11611163,0,0.098,0,0.25273922,,0.3285508,,0.84032249,,0.32328808,,0.53527023,,0.20120016,,0.13747473,,0.32332268,,0.050206347,,0.51318359,,,,,,,,,,
,Cook Islands,0.034958258,0,NA,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Costa Rica,0.074772849,0,0.02167807,0,0.59626316,x,0.32540791,x,0.89655899,x,0.39779896,x,0.49601074,x,0.12832944,x,NA,,0.79428505,x,NA,,NA,,,,,,,,,,
,Côte d'Ivoire,0.15460178,0,0.245,0,0.36603085,,0.23128265,,0.65493095,,0.63096924,,0.75552391,,0.36240452,,0.22677824,,0.48965462,,0.13769083,,0.4409634,,,,,,,,,,
,Croatia,0.051036353,0,NA,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Cuba,0.052635574,0,0.0518443,0,0.47877312,,0.32832527,,0.9106768,,0.30687815,,NA,,NA,,0.70148407,,0.79246628,,0.55993008,,0.26882854,,,,,,,,,,
,Cyprus,NA,0,0.265116642,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Czechia,0.078177896,0,0.000823942,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Democratic People's Republic of Korea,NA,0,0,0,0.425,,0.714,,0.782,,NA,,NA,,NA,,0.467,,0.75,,0.286,,NA,,,,,,,,,,
,Democratic Republic of the Congo,0.10843405,0,0.23941552,0,0.51926548,,0.47336025,,0.79274902,,0.819683,,0.86841934,,0.66589607,,0.17202019,,0.34647312,,0.083678122,,0.2872607,,,,,,,,,,
,Denmark,0.053433523,0,0.04330615,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Djibouti,NA,0,NA,0,0.52,x,0.124,x,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Dominica,NA,0,NA,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Dominican Republic,0.11294179,0,0.03895558,0,0.38075706,,0.04564405,,0.80525726,,0.19947975,,0.2715584,,0.14178377,,0.51307983,,0.79761658,,0.43048294,,0.34918953,,,,,,,,,,
,Ecuador,0.11180641,0,0.186357986,0,0.546,x,0.396,x,0.736,x,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Egypt,NA,0,0.38594905,0,0.2709951,,0.39536598,,0.75196083,,0.50463615,,0.58088089,,0.43396587,,0.34690113,,0.60237522,,0.23295528,,0.44697613,,,,,,,,,,
,El Salvador,0.10295944,0,0.07035067,0,0.42004864,,0.46734215,,0.90336411,,0.66789284,,0.7134404,,0.57209175,,0.72850906,,0.86942513,,0.6451709,,0.15860823,,,,,,,,,,
,Equatorial Guinea,NA,0,0.295,0,NA,,0.074,x,NA,,0.308,x,0.47282089,"x,r",0.34386997,"x,r",NA,,0.39,x,NA,,NA,,,,,,,,,,
,Eritrea,NA,0,0.652,0,0.931,x,0.687,x,0.442,x,0.86,x,NA,0,NA,0,NA,,NA,,NA,,NA,,,,,,,,,,
,Estonia,0.043443718,0,0.002626535,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Eswatini,0.10321427,0,0.08779195,0,0.48327488,,0.63823479,,0.89539223,,0.28463564,,0.28743979,,0.18860249,,0.47702911,,0.84593842,,0.38076611,,NA,,,,,,,,,,
,Ethiopia,NA,0,0.864,0,0.73329582,,0.56520683,,0.60001724,,0.84758087,,0.84211899,,0.82762138,,0.12488017,,0.4513026,,0.072952299,,0.687808,,,,,,,,,,
,Fiji,NA,0,0.109,x,0.573,x,0.398,x,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Finland,0.041218162,0,0.06203344,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,France,0.074371591,0,0,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Gabon,0.1421289,0,0.09291413,0,0.32336426,x,0.050756083,x,0.82385559,x,0.22843929,x,0.34341011,x,0.18729019,x,0.17827158,x,NA,,NA,,0.52459663,x,,,,,,,,,
,Gambia,0.16751015,0,0.40697629,0,0.51512726,,0.46779449,,0.55035408,,0.78498962,,0.80782997,,0.68864388,,0.10332583,,0.57537132,,0.083229542,,0.7562204,,,,,,,,,,
,Georgia,0.061172013,0,0,0,0.687,x,0.548,x,0.845,x,0.30131245,x,0.31099468,x,0.3105027,x,NA,,NA,,NA,,NA,,,,,,,,,,
,Germany,0.066457105,0,0.020539309,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Ghana,0.1415881,0,0.39671162,0,0.55614155,,0.52085804,,0.73095009,,0.75925529,,0.92025787,,0.70675789,,0.24404594,,0.43266636,,0.13261838,,0.50589531,,,,,,,,,,
,Greece,0.087483921,0,0.036687219,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Grenada,NA,0,NA,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Guatemala,0.10957713,0,0.05758976,0,0.63133484,,0.53236492,,0.79800125,,0.72040627,,0.85216827,,0.47555321,,0.59316128,,0.8242955,,0.52061028,,0.2675561,,,,,,,,,,
,Guinea,NA,0,0.487,0,0.33869759,,0.334,,0.53696823,,0.776,,0.90933044,r,0.53421932,r,0.058890476,,0.24058857,,0.018107755,,0.84808601,,,,,,,,,,
,Guinea-Bissau,0.21075216,0,0.5630263,0,0.33657967,,0.52541714,,0.57177322,,0.77001976,,0.82835136,,0.57340336,,0.10018054,,0.57300228,,0.077728214,,0.4362265,,,,,,,,,,
,Guyana,0.15618451,0,0.1120028,0,0.49213158,,0.21100428,,0.80891869,,0.45998138,,0.63645958,,0.24689426,,0.40285889,,0.63000511,,0.27761177,,0.32799072,,,,,,,,,,
,Haiti,NA,0,0.665,0,0.47352592,,0.39875298,,0.91283195,,0.52460415,,0.58783657,,0.43411049,,0.19176323,,0.39475147,,0.11129445,,0.54659348,,,,,,,,,,
,Holy See,NA,0,NA,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Honduras,0.1089721,0,0.16939299,0,0.63797344,x,0.30749973,x,0.86258842,x,0.58911865,x,0.75857834,x,0.41650066,x,0.60726421,x,0.86068283,x,0.54787403,x,0.36059898,x,,,,,,,,,
,Hungary,0.087674103,0,0,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Iceland,0.041936245,0,0.084643018,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,India,NA,z,0.221,0,0.41498436,,0.54872589,,0.45798512,,0.79550217,,0.87527084,,0.68516663,,0.19870314,,0.35928535,,0.095559235,,0.54711174,,,,,,,,,,
,Indonesia,0.099694548,0,0.10016486,0,0.582,,0.50672592,,0.85528419,,0.67291191,,0.74239639,,0.55874397,,0.53925323,,0.7170536,,0.40341499,,0.17848288,,,,,,,,,,
,Iran (Islamic Republic of),NA,0,NA,0,0.687,x,0.531,x,0.759,x,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Iraq,NA,0,0.28,0,0.32358322,,0.25822445,,0.84785439,,0.3533202,,0.46578106,,0.32455746,,0.44582573,,0.77583061,,0.34988544,,0.25317371,,,,,,,,,,
,Ireland,0.058868113,0,0.041462926,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Israel,0.077825155,0,0,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Italy,0.069646678,0,0.022180664,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Jamaica,0.14582915,0,0.03530131,0,0.64718956,x,0.23779669,x,0.63538231,x,0.37669949,x,0.39487129,x,0.29071745,x,NA,,0.42007225,x,NA,,NA,,,,,,,,,,
,Japan,0.094886723,0,0.045491136,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Jordan,0.13782714,0,0.053,0,0.67048759,,0.2540476,,0.83392143,,0.26147621,,0.28023586,,0.32572956,,0.34953205,,0.6219492,,0.22532862,,0.41086464,,,,,,,,,,
,Kazakhstan,0.054285703,0,0.01411501,0,0.83288734,,0.3777187,,0.6649617,,0.40789272,,0.39550774,,0.44826748,,0.48980808,,0.76860947,,0.37908714,,0.2121459,,,,,,,,,,
,Kenya,0.11466808,0,0.34108277,0,0.6221389,,0.6139415,,0.79685715,,0.75416695,,0.78760895,,0.68700821,,0.36308922,,0.50771599,,0.21819996,,0.28689034,,,,,,,,,,
,Kiribati,NA,0,0.238,x,0.8,x,0.66,x,0.7,x,0.845,x,0.91807823,x,0.79533073,x,0.27,x,NA,,NA,,NA,,,,,,,,,,
,Kuwait,0.09864666,0,0.301176512,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Kyrgyzstan,0.055305958,0,0.003,0,0.81,,0.45557854,,0.9139843,,0.47346313,,0.53116817,,0.36206692,,0.59765411,,0.76372238,,0.4374435,,0.13787654,,,,,,,,,,
,Lao People's Democratic Republic,0.17313999,0,0.326,0,0.50061512,,0.44379486,,0.86658409,,0.42805965,,0.66490303,,0.19407003,,0.35697502,,0.69916519,,0.26534733,,0.36160789,,,,,,,,,,
,Latvia,0.045087481,0,0,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Lebanon,0.092394466,0,0,0,0.413,x,NA,,NA,,0.143,x,NA,0,NA,0,NA,,NA,,NA,,NA,,,,,,,,,,
,Lesotho,0.14607059,0,0.1656881,0,0.65293884,,0.66851952,,0.83030396,,0.53487961,,0.74066177,,0.25744989,,0.1693997,,0.6076519,,0.11332228,,0.49980068,,,,,,,,,,
,Liberia,NA,0,0.76769523,0,0.61246883,,0.54577816,,0.46587254,,0.69461716,,0.75673607,,0.53001629,,0.097260971,,0.30174366,,0.052140656,,0.38836258,,,,,,,,,,
,Libya,NA,0,NA,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Liechtenstein,NA,0,NA,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Lithuania,0.045087857,0,0.071942446,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Luxembourg,0.065398355,0,0,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Madagascar,0.17138205,0,0.6,x,0.658,x,0.419,x,0.897,x,0.79316292,x,0.79123642,x,0.76659683,x,0.21752062,x,NA,,NA,,0.33068245,x,,,,,,,,,
,Malawi,0.14464293,0,0.16026119,0,0.76242294,,0.59439594,,0.84924057,,0.83831001,,0.87412285,,0.78337059,,0.22765091,,0.29173725,,0.080577755,,0.22928152,,,,,,,,,,
,Malaysia,0.11349301,0,0.006935962,0,NA,,0.403,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Maldives,0.11717913,0,0.111566018,0,0.665,,0.63032921,,0.96686874,,0.72774002,,0.79346916,0,NA,p,0.71379066,,0.69723854,,0.51173634,,0.15146124,,,,,,,,,,
,Mali,NA,0,0.633049818,0,0.53230728,,0.404,,0.41783798,,0.786,,0.81577721,r,0.7261351,r,0.10513172,,0.23098789,,0.033926587,,0.69753502,,,,,,,,,,
,Malta,0.063229485,0,0,0,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,,,,,,,
,Marshall Islands,NA,0,0.101,0,0.608,,0.43117062,,0.642,,0.35539608,,0.25095234,0,NA,p,0.34144512,,0.608,,0.16326954,,0.46440636,,,,,,,,,,
,Mauritania,NA,0,0.638,0,0.678,,0.403,,0.737,,0.69521141,,0.74667236,,0.60532528,,0.28286289,,0.38921925,,0.14324,,0.51469063,,,,,,,,,,
